Name,Latitude,Longitude,Population
Colusa,39.214333,-122.009417,7663
Commerce,34.000569,-118.159792,152374
Compton,33.89585,-118.220072,18912
Concord,37.977978,-122.031072,9253
Corcoran,37.977978,-122.031072,109960
Corning,39.927658,-122.179156,7265
Corona,33.875294,-117.566439,47796
Coronado,32.685886,-117.183089,7643
Costa Mesa,33.641133,-117.918669,23805
Cotati,38.327778,-122.709167,38883
Covina,34.090008,-117.890339,58302
Crescent City,41.755947,-124.201747,47802
Cudahy,33.960569,-118.18535,101123
Culver City,34.021122,-118.396467,33351
Cupertino,37.322997,-122.032183,42039
Cypress,37.320531,-121.962242,65622
Daly City,37.687925,-122.470208,4161
Dana Point,33.466972,-117.698108,1624
Davis,38.544906,-121.740517,53041
Del Mar,32.959489,-117.265314,25938
Del Rey Oaks,36.593292,-121.834953,55544
Delano,35.768842,-119.247053,21453
Desert Hot Springs,33.961125,-116.501678,18351
Diamond Bar,34.028622,-117.810336,939
Dinuba,36.543283,-119.387067,4950
Dixon,38.445464,-121.823297,111772
Dorris,41.967369,-121.918061,21321
Dos Palos,36.986058,-120.626572,46036
Downey,33.940014,-118.132569,1650
Duarte,34.13945,-117.977286,28155
Dublin,37.702153,-121.935792,99478
Dunsmuir,41.208208,-122.271953,42598
East Palo Alto,37.468828,-122.141075,23549
Eastvale,33.963056,-117.563889,113475
El Cajon,32.794772,-116.962528,16654
El Centro,32.792,-115.56305,10080
El Cerrito,37.916133,-122.310764,59518
El Monte,34.068622,-118.027567,7132
El Segundo,33.919181,-118.416464,143911
Elk Grove,38.4088,-121.371617,737
Emeryville,37.831317,-122.285247,27191
Encinitas,33.036986,-117.291983,10334
Escalon,37.797428,-120.996603,7441
Escondido,33.119208,-117.086422,105321
Etna,41.456806,-122.894756,10588
Eureka,40.802072,-124.163672,1371
Exeter,36.296061,-119.142053,15002
Fairfield,38.249358,-122.039967,7549
Farmersville,36.297728,-119.206778,72203
Ferndale,40.576242,-124.263944,196069
Fillmore,34.399164,-118.918153,7273
Firebaugh,36.858839,-120.456008,839
Folsom,38.677958,-121.176058,11926
Fontana,34.092233,-117.435047,30567
Fort Bragg,39.445722,-123.805292,55313
Fort Jones,41.663864,-124.252892,5570
Fortuna,40.598186,-124.157275,214089
Foster City,37.558547,-122.271078,494665
Fountain Valley,33.709186,-117.953669,135161
Fowler,36.630506,-119.678469,23647
Fremont,37.548269,-121.988572,170883
Fresno,36.746842,-119.772586,58829
Fullerton,33.870292,-117.925339,48821
Galt,38.254636,-121.299947,191719
Garden Grove,33.773906,-117.941447,50073
Gardena,33.88835,-118.308961,8187
Gilroy,37.005783,-121.568275,12040
Glendale,34.142508,-118.255075,12860
Glendora,34.136119,-117.865339,16330
Goleta,34.435828,-119.827639,6584
Gonzales,36.506628,-121.444381,13156
Grand Terrace,34.033903,-117.313653,7080
Grass Valley,39.219061,-121.061061,5520
Greenfield,36.3208,-121.243814,11324
Gridley,39.363778,-121.693583,53967
Grover Beach,35.121642,-120.621283,14254
Guadalupe,34.971644,-120.571836,84293
Gustine,37.257717,-120.998814,144186
Half Moon Bay,37.463553,-122.428586,11254
Hanford,36.32745,-119.645683,78657
Hawaiian Gardens,33.831403,-118.072842,24060
Hawthorne,33.916403,-118.352575,19506
Hayward,37.668819,-122.080797,90173
Healdsburg,38.610467,-122.869161,1856
Hemet,33.747519,-116.971967,53104
Hercules,38.017144,-122.288581,10825
Hermosa Beach,33.862236,-118.399519,34928
Hesperia,34.426389,-117.300878,5939
Hidden Hills,34.160283,-118.652311,6640
Highland,34.128344,-117.20865,189992
Hollister,36.852453,-121.401603,58114
Holtville,32.811161,-115.380264,6754
Hughson,37.602725,-120.866481,14758
Huntington Beach,33.660297,-117.999225,26324
Huntington Park,33.981681,-118.225072,4958
Huron,36.202731,-120.102917,76036
Imperial,32.847553,-115.569439,219
Imperial Beach,32.583944,-117.113086,109673
Indian Wells,33.717631,-116.340756,7918
Indio,33.720578,-116.215561,212375
Industry,34.019733,-117.958675,1422
Inglewood,33.961681,-118.353131,804
Ione,38.352692,-120.932717,4651
Irvine,33.683947,-117.794694,13544
Irwindale,34.106953,-117.935342,12874
Isleton,38.161861,-121.611622,11382
Jackson,38.348803,-120.774103,20246
Jurupa Valley,33.999522,-117.475397,60239
Kerman,36.723558,-120.059878,5325
King City,36.212744,-121.126028,57065
Kingsburg,36.513839,-119.554017,48527
La Cañada Flintridge,34.206817,-118.200028,15568
La Habra,33.931958,-117.946172,39816
La Habra Heights,33.960847,-117.950619,37467
La Mesa,32.767828,-117.023083,31063
La Mirada,33.917236,-118.012008,23893
La Palma,33.846403,-118.046731,22723
La Puente,34.020011,-117.949508,62979
La Quinta,33.646692,-116.310008,51821
La Verne,34.100842,-117.767836,4753
Lafayette,37.885758,-122.118019,80048
Laguna Beach,33.542247,-117.783111,156633
Laguna Hills,33.599722,-117.699444,11926
Laguna Niguel,33.522525,-117.707553,18023
Laguna Woods,33.6103,-117.725331,32769
Lake Elsinore,33.668078,-117.327261,25320
Lake Forest,33.646967,-117.689217,24531
Lakeport,39.04295,-122.915828,42819
Lakewood,33.853628,-118.133956,11768
Lancaster,34.686786,-118.154164,8392
Larkspur,37.934092,-122.535253,80968
Lathrop,37.822706,-121.276611,13058
Lawndale,33.887236,-118.352575,62134
Lemon Grove,32.742553,-117.031417,23261
Lemoore,36.300783,-119.782911,20256
Lincoln,38.891564,-121.293008,42434
Lindsay,36.203006,-119.088161,462257
Live Oak,36.983561,-121.980517,6430
Livermore,37.681875,-121.768008,11449
Livingston,37.386883,-120.723533,28976
Lodi,38.134147,-121.272219,7922
Loma Linda,34.048347,-117.261153,3792621
Lomita,33.792239,-118.315072,35972
Lompoc,34.63915,-120.457942,29413
Long Beach,33.768322,-118.195617,769
Los Alamitos,33.803072,-118.072564,69772
Los Altos,33.796331,-118.118119,61416
Los Angeles,34.052233,-118.243686,8234
Los Banos,37.058278,-120.849914,35135
Loyalton,39.676294,-120.241039,67096
Lynwood,33.930292,-118.211461,1154
Madera,36.961336,-120.060717,19718
Malibu,34.005008,-118.810172,35824
Manhattan Beach,33.884736,-118.410908,12072
Manteca,37.797428,-121.216053,27395
Maricopa,35.058858,-119.40095,12707
Marina,36.684403,-121.802172,11014
Martinez,38.019367,-122.134133,32026
Marysville,39.145725,-121.591356,78958
Maywood,33.986681,-118.18535,13903
McFarland,35.678011,-119.229275,21532
Mendota,36.753561,-120.381558,66790
Menifee,33.678333,-117.166944,93305
Menlo Park,37.453828,-122.182186,201165
Merced,37.302164,-120.482967,36590
Mill Valley,37.906036,-122.544975,1443
Millbrae,37.598547,-122.387194,36664
Milpitas,37.428272,-121.906625,3341
Mission Viejo,33.600022,-117.671994,62500
Modesto,37.639097,-120.996878,27810
Monrovia,34.144428,-118.001947,60269
Montague,41.728197,-122.5278,34421
Montclair,34.077511,-117.689778,16016
Monte Sereno,37.236333,-121.992458,193365
Montebello,34.016506,-118.113753,37882
Monterey,36.600239,-121.894675,10234
Monterey Park,34.062511,-118.122847,3394
Moorpark,34.144897,-118.268742,74066
Moreno Valley,33.942467,-117.229672,76915
Morgan Hill,37.1305,-121.654389,58582
Morro Bay,35.365808,-120.8499,4844
Mount Shasta,41.410806,-122.194575,3068
Mountain View,37.386053,-122.08385,42573
Murrieta,33.553914,-117.213922,10224
Napa,38.297539,-122.286864,85186
National City,32.678108,-117.099197,27063
Needles,34.848061,-114.614133,105549
Nevada City,39.261561,-121.016058,51904
Newark,37.529658,-122.040239,20675
Newman,37.313828,-121.020761,390724
Newport Beach,33.618911,-117.928947,167086
Norco,33.931125,-117.548661,7461
Norwalk,33.902236,-118.081733,163924
Novato,38.107419,-122.569703,136416
Oakdale,37.766594,-120.847153,9078
Oakland,37.804364,-122.271114,17643
Oakley,37.997422,-121.712453,7291
Oceanside,33.195869,-117.379483,15546
Ojai,34.44805,-119.242889,197899
Ontario,34.063344,-117.650889,15041
Orange,33.787794,-117.853111,37234
Orange Cove,36.624394,-119.313731,48445
Orinda,37.877147,-122.179689,44552
Orland,39.747381,-122.196375,152750
Oroville,39.513775,-121.556358,64403
Oxnard,34.197506,-119.177053,13438
Pacific Grove,36.617736,-121.916622,26218
Pacifica,37.613825,-122.486919,54098
Palm Desert,33.722244,-116.374456,14494
Palm Springs,33.830297,-116.545292,137122
Palmdale,34.579433,-118.116461,29793
Palo Alto,37.441883,-122.143019,20413
Palos Verdes Estates,33.800572,-118.390075,68386
Paramount,33.889461,-118.159792,57941
Parlier,36.611617,-119.527072,62942
Pasadena,34.147786,-118.144517,10667
Paso Robles,35.632278,-120.664186,18390
Patterson,37.4716,-121.129656,7655
Perris,33.782519,-117.228647,63264
Petaluma,38.232417,-122.636653,50533
Pico Rivera,33.983069,-118.096736,10389
Piedmont,37.824372,-122.231636,33152
Pinole,38.004367,-122.298858,70285
Pismo Beach,35.142753,-120.641283,1005
Pittsburg,38.027975,-121.884681,449
Placentia,33.872236,-117.870336,149058
Placerville,38.729625,-120.798547,21723
Pleasant Hill,37.947978,-122.060797,54165
Pleasanton,37.662431,-121.874678,2104
Plymouth,38.481853,-120.844658,4353
Point Arena,38.908797,-123.693072,47811
Pomona,34.055228,-117.752306,165269
Port Hueneme,34.180728,-119.208158,17218
Porterville,36.065231,-119.016767,41643
Portola,39.810458,-120.469103,14076
Poway,32.962822,-117.035864,89861
Rancho Cordova,38.589072,-121.302728,68747
Rancho Cucamonga,34.1064,-117.593108,66748
Rancho Mirage,33.739744,-116.412789,76815
Rancho Palos Verdes,33.744461,-118.387017,24194
Rancho Santa Margarita,33.640856,-117.603103,99171
Red Bluff,40.178489,-122.235831,103701
Redding,40.586539,-122.391675,27616
Redlands,34.055569,-117.182539,3368
Redondo Beach,33.849183,-118.388408,7360
Redwood City,37.485214,-122.236356,14297
Reedley,36.596339,-119.450403,22678
Rialto,34.1064,-117.370325,303871
Richmond,37.935758,-122.34775,56974
Ridgecrest,35.622456,-117.670897,40971
Rio Dell,40.4993,-124.106436,1860
Rio Vista,38.15575,-121.691344,8067
Ripon,37.739453,-121.135414,53764
Riverbank,37.736039,-120.935489,118788
Riverside,33.95335,-117.396156,2415
Rocklin,38.790733,-121.235783,466488
Rohnert Park,38.339636,-122.701097,150441
Rolling Hills,33.756961,-118.353961,12336
Rolling Hills Estates,33.787794,-118.358128,209924
Rosemead,34.080564,-118.072847,41114
Roseville,38.752122,-121.288006,28406
Sacramento,38.581572,-121.4944,63522
Salinas,36.677736,-121.6555,1307402
San Bernardino,34.108344,-117.289764,33371
San Bruno,37.630489,-122.411083,23645
San Carlos,37.507158,-122.260522,805235
San Clemente,33.426972,-117.611992,39718
San Diego,32.715328,-117.157256,44199
San Dimas,34.106675,-117.806725,4001
San Fernando,34.281947,-118.438972,945942
San Francisco,37.774931,-122.419417,1862
San Gabriel,34.096111,-118.105833,34593
San Jacinto,33.783908,-116.958636,84950
San Joaquin,36.606617,-120.189044,45119
San Jose,37.339386,-121.894956,83781
San Juan Bautista,36.845511,-121.537997,13147
San Juan Capistrano,33.501692,-117.66255,97207
San Leandro,37.724931,-122.156078,29139
San Luis Obispo,35.282753,-120.659617,57713
San Marcos,33.143372,-117.166144,72148
San Marino,34.121397,-118.106458,334
San Mateo,37.562992,-122.325525,24270
San Pablo,37.962147,-122.345525,324528
San Rafael,37.973536,-122.531086,88410
San Ramon,37.779928,-121.978014,116468
Sand City,36.617183,-121.848286,176320
Sanger,36.708006,-119.555964,59946
Santa Ana,33.745572,-117.867833,16223
Santa Barbara,34.420831,-119.698189,99553
Santa Clara,37.354108,-121.955236,89736
Santa Clarita,34.391664,-118.542586,29321
Santa Cruz,36.974117,-122.030797,167815
Santa Fe Springs,33.947236,-118.085344,53413
Santa Maria,34.953033,-120.435719,29926
Santa Monica,34.019453,-118.491192,7061
Santa Paula,34.354167,-119.059269,11580
Santa Rosa,38.440467,-122.714431,24168
Santee,32.838383,-116.973917,33025
Saratoga,37.263833,-122.023014,7379
Sausalito,37.859094,-122.48525,23219
Scotts Valley,37.051061,-122.014683,16988
Seal Beach,33.741406,-118.104786,10917
Seaside,33.819361,-118.366647,11016
Sebastopol,38.402136,-122.823881,124237
Selma,36.570783,-119.612075,12867
Shafter,35.500514,-119.271775,25738
Shasta Lake,40.680428,-122.370842,5245
Sierra Madre,34.161672,-118.052847,10648
Signal Hill,33.804461,-118.167847,4903
Simi Valley,34.269447,-118.781483,20116
Solana Beach,32.991156,-117.271147,94396
Soledad,32.991156,-117.271147,21403
Solvang,34.595819,-120.137647,25619
Sonoma,38.291858,-122.458036,63632
Sonora,37.984092,-120.382139,5814
South El Monte,34.051956,-118.046733,38186
South Gate,33.954736,-118.212017,291707
South Lake Tahoe,38.939925,-119.977186,28111
South Pasadena,34.116119,-118.15035,140081
South San Francisco,37.654656,-122.40775,17947
St. Helena,38.505242,-122.470386,2501
Stanton,33.802517,-117.993117,9327
Stockton,37.957703,-121.290781,14414
Suisun City,38.238247,-122.040244,418
Sunnyvale,37.368831,-122.03635,100097
Susanville,40.416283,-120.653006,35558
Sutter Creek,38.392967,-120.802436,126683
Taft,35.142467,-119.456508,8962
Tehachapi,35.132189,-118.448975,145438
Tehama,40.027103,-122.123322,82922
Temecula,33.493639,-117.148364,367
Temple City,34.107231,-118.057847,59278
Thousand Oaks,34.107231,-118.057847,1010
Torrance,33.83585,-118.340628,68549
Tracy,37.73965,-121.425222,75540
Trinidad,41.059292,-124.143125,25048
Tulare,36.207728,-119.347339,16075
Tulelake,41.955989,-121.477492,69516
Turlock,37.494658,-120.846594,73732
Tustin,33.74585,-117.826167,92428
Twentynine Palms,34.135558,-116.054169,115942
Ukiah,39.150172,-123.207783,106433
Union City,37.593392,-122.043831,112
Upland,34.097511,-117.648389,115903
Vacaville,38.356578,-121.987744,5812
Vallejo,38.104086,-122.256636,124442
Ventura,34.274639,-119.229006,93834
Vernon,34.003903,-118.230072,29172
Victorville,34.536108,-117.291158,64173
Villa Park,33.814461,-117.813111,25545
Visalia,36.330228,-119.292058,8456
Vista,33.200036,-117.242536,51199
Walnut,34.020289,-117.865339,2967
Walnut Creek,37.910078,-122.065183,106098
Wasco,35.594125,-119.340947,34399
Waterford,37.641319,-120.760483,48744
Watsonville,36.910231,-121.756894,8270
Weed,41.42265,-122.386128,89701
West Covina,34.068622,-117.938953,2225
West Hollywood,34.090008,-118.361744,3456
West Sacramento,38.580461,-121.530233,85331
Westlake Village,34.145839,-118.805647,5123
Westminster,33.751342,-117.993992,4888
Westmorland,33.037267,-115.621383,6166
Wheatland,39.009894,-121.423014,6624
Whittier,33.979178,-118.032844,7279
Wildomar,33.598914,-117.280036,55468
Williams,39.154614,-122.149419,5287
Willits,39.409608,-123.355567,64234
Willows,39.524325,-122.193592,2933
Winters,38.524906,-121.970803,7765
Woodlake,36.413561,-119.098717,64925
Woodland,38.678517,-121.773297,51367
Yorba Linda,33.888625,-117.813111,26868
Yreka,41.735419,-122.634472,36112
Yuba City,39.140447,-121.616911,16933
Yucaipa,34.033625,-117.043086,44018
